Place,Deck,Pilot,deck_id,PC1,PC2
3rd,Burn,OddlyUneven,4325032,0.545269827891403,-3.15270145327658
4th,4c Living End,Rvng,4325033,1.77564632676793,3.90761701180291
5th,Burn,Beenew,4325034,0.404874762329927,-3.64017012850731
6th,Eldrazi Tron,Mateusf34,4325035,-12.1502395529625,4.52911902179208
7th,Burn,XxShuicunexX,4325036,0.820562574890618,-3.17878616679439
8th,Crashing Footfalls,Simaomero,4325037,2.1894517177064,3.89586566015219
1st,Five-Colors Elementals,Ssejemba,4311579,3.15453790245339,4.55920862950894
2nd,R,memebrand,4311580,-0.989494573855777,1.11161800027189
3rd,Izzet Tempo,_Tia93_,4311581,2.42329228167597,-1.07826766979544
4th,BGx Sacrifice,DemonicTutors,4311582,-15.6114439221527,9.23048637592091
5th,UWx Control,koko_lopez,4311583,6.42573823779019,4.56253899279188
6th,Amulet Titan,HouseOfManaMTG,4311584,-8.00734976424146,5.2958612068679
7th,Living End,oskiyaa,4311585,1.63209175352896,3.92983131565954
8th,Burn,NorrathDecay,4311586,0.730567368221422,-3.38108611311351
1st,Living End,bobthedog,4311095,1.66570965663262,3.92545309685722
2nd,Izzet Tempo,RHoch,4311096,2.33996745269765,-1.71471316680648
3rd,Five-Colors Elementals,kanister,4311097,3.37516014500931,3.86489941226884
4th,UWx Control,billsive,4311098,5.75645246273436,3.78127969910862
5th,WUB,SpiderSpace,4311099,2.33474430077208,-0.421507372315443
6th,UR,aspiringspike,4311100,2.41250957903202,-0.334655999113664
7th,UWx Control,viktor_von_muerte,4311101,6.52039985137948,4.45711633809405
8th,WU,Curryvore,4311102,7.58023545449968,5.76387653819996
1st,R,gabrylele91,4295939,-0.640178159335106,1.35072585573916
2nd,UWx Control,MrCafouillette,4295940,6.15408213562707,4.4014886502155
3rd,Crashing Footfalls,xRagedFurballx,4295941,2.09970779024945,4.04923923433657
4th,BGx Sacrifice,DemonicTutors,4295942,-16.1458177807765,9.76685094804249
5th,Izzet Tempo,lilianaofthevess,4295943,2.54286674353988,-1.27643770753164
6th,Ad Nauseam,Selami,4295944,-1.56606461785747,-3.52086081062348
7th,Izzet Tempo,GodOfSlaughter,4295945,2.45784245189998,-1.04171692216517
8th,Hammer Time,Laplasjan,4295946,-3.0748434010207,-6.82097330974178
1st,Azorius Mill,Wisnia,4295006,1.83498205933106,-2.98679110228476
2nd,Hammer Time,Laplasjan,4295007,-3.0748434010207,-6.82097330974178
3rd,Living End,coe205,4295008,1.60452849822652,3.82089225995319
4th,Living End,Erik157751,4295009,1.64983731010208,3.76134510655845
5th,Izzet Tempo,trunks132,4295010,2.33996745269765,-1.71471316680648
6th,Scapeshift,TheBigMoke,4295011,2.23702016970574,5.24174386953466
7th,Crashing Footfalls,D00mwake,4295012,2.20061045306949,3.993302587
8th,Tron,SuperCow12653,4295013,-15.6925140155874,4.39840381007816
1st,Izzet Tempo,bobthedog,4280395,2.36562780716743,-1.67202098466277
2nd,Hammer Time,Laplasjan,4280396,-3.0748434010207,-6.82097330974178
3rd,Jund,trunks132,4280397,-1.85902276074203,-4.42259427501594
4th,4c Mill,Blitzlion27,4280398,1.77131605571442,-3.37390040961897
5th,Izzet Tempo,O_danielakos,4280399,2.14676058320643,-0.79136425870821
6th,BRG,guiyote,4280400,-0.288697185990599,-0.945037768645512
7th,WU,Curryvore,4280401,6.46428163981786,4.4199234738956
8th,Grixis Control,Delthar,4280402,2.25057627077765,-3.26362320854409
1st,Living End,Erik157751,4278333,1.64983731010208,3.76134510655845
2nd,Hammer Time,rexjak,4278334,-2.77896050589963,-7.1270678927764
3rd,Burn,frakom,4278335,0.476408261700686,-3.60241025231052
4th,Izzet Control,1stTurnNegator,4278336,3.86100668785271,0.726316296154383
5th,Jund,Golgarburr,4278337,-1.83429900222913,-4.53263793369263
6th,Indomitable Creativity,oskiyaa,4278338,3.80849395913426,2.6517059824462
7th,Dimir Mill,vini_torres,4278339,0.515217228447631,-4.95391964694954
8th,Crashing Footfalls,D00mwake,4278340,2.1725976021144,3.972043857916
1st,BGx Sacrifice,hoody66,4261674,-16.9898097416139,9.7391112099261
2nd,Hammer Time,Suicidal_Eidolon,4261675,-2.74760519265582,-6.84330176981522
3rd,Izzet Tempo,Magicverse,4261676,2.58932064954265,-1.30169208855161
4th,Izzet Tempo,swff,4261677,2.518894911929,-1.05008302627952
5th,Izzet Tempo,O_danielakos,4261678,2.09206043776785,-0.833460230563075
6th,Crashing Footfalls,AndyAWKWARD,4261679,1.94176854576402,3.91953599693124
7th,Dimir Mill,tibalt_of_red_sub,4261680,0.5701725036004,-5.86421412110906
8th,Tron,narca,4261681,-16.4215894956983,5.691568481209
1st,Indomitable Creativity,WaToO,4261026,3.76163073583281,2.65325468426379
2nd,Jund,Oscar_Franco,4261027,-1.72065130594095,-4.03369927195511
3rd,Crashing Footfalls,MaxMagicer,4261028,1.94176854576402,3.91953599693124
4th,Hammer Time,Foxantes,4261029,-2.98867568094077,-6.90297372700125
5th,UWx Control,billsive,4261030,5.18929434046727,3.19201573553899
6th,Jund,Gerardo94,4261031,-1.90606911923614,-4.40632048395923
7th,Crashing Footfalls,Game_Night,4261032,2.43909272183569,3.84331877191004
8th,Dimir Mill,HLG42,4261033,0.77712547514165,-5.41112638190961
1st,Izzet Tempo,swff,4248588,2.45784245189998,-1.04171692216517
2nd,UWx Control,bobthedog,4248589,6.32791904024619,4.21008128507535
3rd,Crashing Footfalls,MaxMagicer,4248590,1.94176854576402,3.91953599693124
4th,Burn,artem_go,4248592,0.811448340281449,-3.41259915410365
5th,Living End,Ndabe,4248593,1.75802234792127,3.65782456687425
6th,BGx Sacrifice,Predicted,4248594,-16.4795548887079,11.1482836527842
7th,Hammer Time,tunicoberno,4248595,-2.41636290374577,-6.44453397860989
8th,URG,bellfy,4248596,1.74492301835779,4.21233774614133
1st,Jund,Bullwinkkle6705,4245725,-1.61533269276275,-4.07331410405083
2nd,UWx Control,WaToO,4245726,6.43373165347717,4.50725916507076
3rd,Burn,Mcleskey,4245727,0.25689744445978,-3.70561470653391
4th,Dimir Mill,ale_ax95,4245728,0.877208717035868,-5.34589872331388
